,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,DIFF_EFG_PCT,DIFF_TOV_PCT,DIFF_REB_PCT,DIFF_FTA_RATE
0,1610612737,Atlanta Hawks,68,34,34,0.5,3289.0,0.541,0.237,0.125,0.278,0.548,0.262,0.141,0.287,6,14,14,14,9,17,28,2,16,20,9,14,20,-0.007000000000000006,-0.015999999999999986,-0.008999999999999952,-0.025000000000000022
1,1610612738,Boston Celtics,68,47,21,0.691,3324.0,0.564,0.246,0.133,0.25,0.531,0.238,0.126,0.251,6,2,2,2,6,6,26,6,27,6,3,27,1,0.03299999999999992,0.007000000000000006,-0.0010000000000000009,0.008000000000000007
2,1610612751,Brooklyn Nets,67,38,29,0.567,3226.0,0.568,0.254,0.141,0.225,0.53,0.283,0.139,0.306,16,9,8,8,24,3,23,15,30,4,23,17,28,0.03799999999999992,0.001999999999999974,-0.08099999999999999,-0.02899999999999997
3,1610612766,Charlotte Hornets,69,22,47,0.319,3342.0,0.513,0.26,0.134,0.281,0.546,0.267,0.145,0.287,1,27,27,27,3,30,20,7,15,17,15,13,21,-0.03300000000000003,-0.010999999999999982,-0.00599999999999995,-0.007000000000000006
4,1610612741,Chicago Bulls,67,31,36,0.463,3241.0,0.55,0.259,0.137,0.239,0.542,0.256,0.145,0.261,16,22,21,22,20,12,22,9,28,14,6,12,3,0.008000000000000007,-0.00799999999999998,-0.02200000000000002,0.0030000000000000027
5,1610612739,Cleveland Cavaliers,69,42,27,0.609,3352.0,0.556,0.268,0.141,0.275,0.534,0.266,0.158,0.275,1,5,7,5,2,10,14,14,19,8,13,4,12,0.02200000000000002,-0.017000000000000015,0.0,0.0020000000000000018
6,1610612742,Dallas Mavericks,68,34,34,0.5,3304.0,0.565,0.311,0.125,0.231,0.551,0.295,0.137,0.275,6,14,14,14,7,5,1,3,29,22,30,21,13,0.013999999999999901,-0.01200000000000001,-0.04400000000000001,0.016000000000000014
7,1610612743,Denver Nuggets,67,46,21,0.687,3231.0,0.578,0.259,0.148,0.284,0.546,0.266,0.138,0.267,16,3,2,3,21,1,21,23,12,19,14,18,5,0.03199999999999992,0.009999999999999981,0.01699999999999996,-0.007000000000000006
8,1610612765,Detroit Pistons,68,15,53,0.221,3289.0,0.521,0.303,0.149,0.291,0.559,0.292,0.137,0.293,6,29,30,30,9,27,3,24,9,26,27,20,24,-0.038000000000000034,0.011999999999999983,-0.0020000000000000018,0.01100000000000001
9,1610612744,Golden State Warriors,68,35,33,0.515,3294.0,0.566,0.221,0.158,0.268,0.543,0.282,0.141,0.276,6,13,11,13,8,4,30,29,22,15,21,15,14,0.02299999999999991,0.017000000000000015,-0.008000000000000007,-0.06099999999999997
10,1610612745,Houston Rockets,67,15,52,0.224,3231.0,0.514,0.286,0.166,0.342,0.563,0.273,0.133,0.269,16,29,29,29,21,28,8,30,1,27,19,23,8,-0.04899999999999993,0.033,0.07300000000000001,0.012999999999999956
11,1610612754,Indiana Pacers,68,31,37,0.456,3279.0,0.541,0.261,0.144,0.282,0.548,0.29,0.152,0.314,6,22,25,25,15,16,18,19,13,21,25,6,30,-0.007000000000000006,-0.008000000000000007,-0.03200000000000003,-0.02899999999999997
12,1610612746,LA Clippers,69,36,33,0.522,3342.0,0.546,0.279,0.144,0.271,0.541,0.258,0.13,0.266,1,11,11,11,3,15,11,17,21,11,8,24,4,0.0050000000000000044,0.013999999999999985,0.0050000000000000044,0.02100000000000002
13,1610612747,Los Angeles Lakers,67,33,34,0.493,3251.0,0.538,0.292,0.138,0.264,0.535,0.228,0.122,0.274,16,17,14,17,16,19,6,11,23,9,1,29,11,0.0030000000000000027,0.016000000000000014,-0.010000000000000009,0.06399999999999997
14,1610612763,Memphis Grizzlies,66,40,26,0.606,3178.0,0.531,0.268,0.134,0.308,0.52,0.265,0.151,0.291,26,6,5,6,29,24,15,8,6,2,12,7,23,0.01100000000000001,-0.016999999999999987,0.017000000000000015,0.0030000000000000027
15,1610612748,Miami Heat,69,36,33,0.522,3337.0,0.521,0.269,0.14,0.276,0.557,0.256,0.163,0.267,1,11,11,11,5,26,13,13,17,25,7,3,6,-0.03600000000000003,-0.022999999999999993,0.009000000000000008,0.013000000000000012
16,1610612749,Milwaukee Bucks,67,48,19,0.716,3246.0,0.548,0.249,0.145,0.287,0.513,0.229,0.118,0.256,16,1,1,1,18,14,25,20,11,1,2,30,2,0.03500000000000003,0.026999999999999996,0.030999999999999972,0.01999999999999999
17,1610612750,Minnesota Timberwolves,68,34,34,0.5,3284.0,0.559,0.268,0.153,0.257,0.542,0.294,0.154,0.301,6,14,14,14,12,8,16,27,25,13,29,5,27,0.017000000000000015,-0.0010000000000000009,-0.043999999999999984,-0.025999999999999968
18,1610612740,New Orleans Pelicans,67,32,35,0.478,3246.0,0.539,0.281,0.147,0.292,0.546,0.272,0.149,0.27,16,19,18,19,18,18,10,22,8,18,18,8,9,-0.007000000000000006,-0.0020000000000000018,0.021999999999999964,0.009000000000000008
19,1610612752,New York Knicks,69,39,30,0.565,3367.0,0.533,0.286,0.13,0.32,0.528,0.27,0.127,0.28,1,7,10,9,1,23,9,5,2,3,17,26,17,0.0050000000000000044,0.0030000000000000027,0.03999999999999998,0.01599999999999996
20,1610612760,Oklahoma City Thunder,67,32,35,0.478,3251.0,0.536,0.252,0.129,0.288,0.546,0.291,0.166,0.31,16,19,18,19,16,21,24,4,10,16,26,2,29,-0.010000000000000009,-0.037000000000000005,-0.02200000000000002,-0.03899999999999998
21,1610612753,Orlando Magic,68,28,40,0.412,3284.0,0.533,0.297,0.151,0.281,0.552,0.267,0.147,0.273,6,26,26,26,12,22,5,25,14,23,16,11,10,-0.019000000000000017,0.0040000000000000036,0.008000000000000007,0.02999999999999997
22,1610612755,Philadelphia 76ers,66,44,22,0.667,3193.0,0.561,0.305,0.137,0.254,0.542,0.282,0.147,0.28,26,4,4,4,26,7,2,10,26,12,22,10,16,0.019000000000000017,-0.009999999999999981,-0.026000000000000023,0.02300000000000002
23,1610612756,Phoenix Suns,66,37,29,0.561,3188.0,0.536,0.241,0.141,0.311,0.53,0.293,0.148,0.285,26,10,8,10,27,20,27,16,5,5,28,9,19,0.006000000000000005,-0.007000000000000006,0.026000000000000023,-0.05199999999999999
24,1610612757,Portland Trail Blazers,67,31,36,0.463,3226.0,0.558,0.301,0.147,0.272,0.556,0.274,0.135,0.29,16,22,21,22,24,9,4,21,20,24,20,22,22,0.0020000000000000018,0.011999999999999983,-0.01799999999999996,0.02699999999999997
25,1610612758,Sacramento Kings,65,39,26,0.6,3145.0,0.577,0.289,0.138,0.259,0.564,0.256,0.14,0.268,30,7,5,7,30,2,7,12,24,28,5,16,7,0.013000000000000012,-0.0020000000000000018,-0.009000000000000008,0.032999999999999974
26,1610612759,San Antonio Spurs,66,17,49,0.258,3188.0,0.526,0.229,0.152,0.306,0.577,0.264,0.137,0.295,26,28,28,28,27,25,29,26,7,30,11,19,25,-0.050999999999999934,0.014999999999999986,0.01100000000000001,-0.035
27,1610612761,Toronto Raptors,68,32,36,0.471,3289.0,0.514,0.266,0.121,0.313,0.567,0.283,0.169,0.281,6,19,21,21,9,29,17,1,4,29,24,1,18,-0.052999999999999936,-0.048000000000000015,0.03199999999999997,-0.01699999999999996
28,1610612762,Utah Jazz,68,33,35,0.485,3284.0,0.55,0.27,0.154,0.315,0.54,0.264,0.128,0.298,6,17,18,18,12,13,12,28,3,10,10,25,26,0.010000000000000009,0.025999999999999995,0.017000000000000015,0.006000000000000005
29,1610612764,Washington Wizards,67,31,36,0.463,3231.0,0.552,0.261,0.144,0.276,0.533,0.245,0.124,0.277,16,22,21,22,21,11,19,18,18,7,4,28,15,0.019000000000000017,0.01999999999999999,-0.0010000000000000009,0.016000000000000014
