,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101226,2022-04-10T00:00:00,NYK vs. TOR,W,32.65,2,11,2,9,0,0,0,3,5,0,2,2,2,0,6,0.145,0.043,65,0,0.0,29,78,205,0,0,2022-04-10,71.60000000000001,3,20,8,1,8,6,2,3,0,150,9,1,2.0,2.0,0.037,0.18066666666666667,0,27,94
1,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101204,2022-04-08T00:00:00,NYK @ WAS,W,27.633333333333333,6,14,4,10,1,2,0,3,2,0,2,0,4,1,17,0.242,0.087,58,2,0.118,29,78,205,1,1,2022-04-08,71.36666666666667,3,15,9,1,6,7,4,2,0,150,6,2,4.0,1.0,0.049666666666666665,0.17400000000000002,0,27,92
2,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101191,2022-04-06T00:00:00,NYK vs. BKN,L,28.533333333333335,3,9,2,7,0,0,1,3,3,2,0,0,1,0,8,0.157,0.063,61,2,0.0,29,78,205,1,0,2022-04-06,78.23333333333332,3,16,15,0,7,5,4,3,0,164,9,6,4.0,4.0,0.073,0.20099999999999998,0,27,90
3,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101171,2022-04-03T00:00:00,NYK @ ORL,W,15.433333333333334,1,5,0,3,0,0,0,2,1,0,1,0,4,0,2,0.143,-0.039,31,0,1.0,29,78,205,0,1,2022-04-03,114.60666666666665,4,31,17,0,9,11,8,4,0,238,11,7,6.0,3.0,0.07050000000000001,0.21674999999999997,0,27,87
4,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101162,2022-04-02T00:00:00,NYK vs. CLE,L,27.4,6,10,3,5,4,4,0,1,3,2,1,0,1,2,19,0.222,0.125,58,6,0.0,29,78,205,3,0,2022-04-02,87.20666666666666,3,26,12,0,8,8,6,3,0,180,10,5,3.0,3.0,0.052333333333333336,0.215,0,27,86
5,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101140,2022-03-30T00:00:00,NYK vs. CHA,L,35.4,10,16,6,8,4,5,0,4,1,2,1,0,4,4,30,0.238,0.133,75,2,0.2,29,78,205,1,3,2022-03-30,114.95,4,38,9,0,6,18,6,4,0,223,12,4,2.0,0.0,0.0155,0.20074999999999998,0,27,83
6,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101126,2022-03-28T00:00:00,NYK vs. CHI,W,24.923333333333332,2,10,1,8,0,0,0,1,3,2,1,0,3,1,5,0.188,-0.031,52,2,0.0,29,78,205,1,0,2022-03-28,115.79333333333334,4,39,9,0,6,19,5,4,0,224,10,4,2.0,0.0,0.04075,0.20124999999999998,0,27,81
7,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101115,2022-03-27T00:00:00,NYK @ DET,W,26.883333333333333,4,12,3,10,0,0,0,3,4,2,1,0,3,0,11,0.219,0.055,53,2,0.0,29,78,205,1,0,2022-03-27,117.12666666666667,4,39,10,0,3,17,4,5,0,223,13,6,1.0,1.0,0.043500000000000004,0.20400000000000001,0,27,80
8,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101103,2022-03-25T00:00:00,NYK @ MIA,W,29.251666666666665,2,11,2,10,1,2,0,1,4,0,2,0,3,3,7,0.174,0.01,52,0,0.0,29,78,205,0,0,2022-03-25,122.17666666666668,4,40,11,0,4,17,5,6,0,240,11,3,1.0,1.0,0.07225000000000001,0.20275,0,27,78
9,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101084,2022-03-23T00:00:00,NYK @ CHA,W,33.891666666666666,4,14,4,10,0,0,0,1,7,2,0,0,3,0,12,0.222,0.028,66,0,0.0,29,78,205,0,0,2022-03-23,116.15166666666667,4,39,8,1,4,16,4,8,0,231,10,5,2.0,1.0,0.1,0.18825000000000003,0,27,76
10,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101081,2022-03-22T00:00:00,NYK vs. ATL,L,25.766666666666666,4,11,3,9,0,0,0,1,4,1,1,0,1,1,11,0.19,0.07,53,2,0.0,29,78,205,1,0,2022-03-22,90.38499999999999,3,30,6,1,3,12,3,7,0,178,9,4,1.0,1.0,0.11,0.18766666666666668,0,27,75
11,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101067,2022-03-20T00:00:00,NYK vs. UTA,L,28.216666666666665,6,13,5,10,0,1,0,0,2,1,2,0,6,2,17,0.23,0.066,52,0,0.118,29,78,205,0,1,2022-03-20,95.86833333333334,3,28,8,1,5,15,5,6,0,196,6,3,4.0,1.0,0.138,0.18566666666666667,0,27,73
12,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101050,2022-03-18T00:00:00,NYK vs. WAS,W,34.30166666666667,5,13,5,11,0,0,0,2,4,1,3,0,1,0,15,0.169,0.125,69,0,0.0,29,78,205,0,0,2022-03-18,90.56666666666666,3,24,7,1,7,15,6,3,0,190,7,4,4.0,1.0,0.12300000000000001,0.18033333333333335,0,27,71
13,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101037,2022-03-16T00:00:00,NYK vs. POR,W,27.866666666666667,5,10,4,9,0,1,1,1,6,1,2,0,2,2,14,0.164,0.139,57,2,0.0,29,78,205,1,0,2022-03-16,87.53333333333333,3,21,9,0,6,9,7,1,0,182,8,2,4.0,2.0,0.07666666666666666,0.18899999999999997,0,27,69
14,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101012,2022-03-13T00:00:00,NYK @ BKN,L,33.7,9,13,5,8,2,2,0,2,5,3,1,0,3,1,25,0.224,0.15,70,6,0.08,29,78,205,3,1,2022-03-13,109.85333333333332,4,28,11,0,6,5,4,1,1,227,8,3,3.0,3.0,0.04025,0.172,0,27,66
15,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022101000,2022-03-11T00:00:00,NYK @ MEM,L,29.0,3,8,3,7,3,3,0,4,4,2,0,0,2,1,12,0.153,0.08,63,0,0.0,29,78,205,0,0,2022-03-11,116.67999999999999,4,28,14,0,3,3,2,1,1,242,9,3,4.0,3.0,0.033,0.1675,0,27,64
16,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100988,2022-03-09T00:00:00,NYK @ DAL,W,24.833333333333332,4,9,2,6,0,0,0,0,0,2,0,0,3,0,10,0.19,0.0,49,2,0.2,29,78,205,1,1,2022-03-09,118.59666666666666,4,27,14,0,3,3,0,3,2,248,9,4,4.0,2.0,0.019750000000000004,0.15300000000000002,0,27,62
17,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100974,2022-03-07T00:00:00,NYK @ SAC,W,26.666666666666668,5,14,3,10,2,2,0,1,0,0,1,0,2,1,15,0.231,0.047,58,4,0.0,29,78,205,2,0,2022-03-07,91.93,3,17,10,0,2,3,0,2,2,190,7,3,2.0,2.0,0.010666666666666665,0.127,0,27,60
18,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100966,2022-03-06T00:00:00,NYK @ LAC,W,29.35333333333333,3,8,1,5,0,0,0,1,1,0,0,1,1,1,7,0.114,0.034,57,0,0.571,29,78,205,0,2,2022-03-06,99.155,3,23,12,0,3,4,2,3,1,212,7,6,5.0,0.0,0.03233333333333333,0.15866666666666665,0,27,59
19,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100953,2022-03-04T00:00:00,NYK @ PHX,L,35.82666666666667,5,11,4,7,2,3,0,1,2,0,0,0,3,1,16,0.135,0.051,78,2,0.0,29,78,205,1,0,2022-03-04,99.795,3,26,14,1,4,4,3,3,1,212,9,5,5.0,1.0,0.016666666666666666,0.18099999999999997,0,27,57
20,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100934,2022-03-02T00:00:00,NYK @ PHI,L,26.75,1,8,0,5,1,2,0,0,0,0,2,1,3,1,3,0.132,-0.053,55,2,0.0,29,78,205,1,0,2022-03-02,73.045,2,21,11,1,4,4,3,1,0,157,6,4,4.0,1.0,0.051500000000000004,0.20550000000000002,0,27,55
21,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100912,2022-02-27T00:00:00,NYK vs. PHI,L,36.57833333333333,9,16,6,11,0,3,0,2,2,2,1,0,1,4,24,0.209,0.099,79,6,0.0,29,78,205,3,0,2022-02-27,36.46666666666667,1,10,6,1,2,2,1,0,0,78,5,0,1.0,1.0,0.004,0.202,0,27,52
22,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100900,2022-02-25T00:00:00,NYK vs. MIA,L,36.46666666666667,5,16,3,10,0,0,1,2,2,1,0,0,5,0,13,0.202,0.004,78,2,0.154,29,78,205,1,1,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,27,50
23,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100877,2022-02-16T00:00:00,NYK vs. BKN,L,31.005,6,17,4,12,0,0,0,2,3,1,1,1,0,1,16,0.277,0.086,61,4,0.0,29,78,205,2,0,2022-02-16,111.38333333333333,3,36,12,2,6,8,6,4,2,235,7,5,3.0,3.0,0.051333333333333335,0.21766666666666667,0,27,41
24,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100860,2022-02-14T00:00:00,NYK vs. OKC,L,44.55,10,18,6,13,3,3,2,2,5,0,2,1,2,2,29,0.165,0.145,97,4,0.138,29,78,205,2,2,2022-02-14,129.57833333333332,4,41,17,3,12,6,10,7,2,268,13,7,4.0,3.0,0.0495,0.22749999999999998,0,27,39
25,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100845,2022-02-12T00:00:00,NYK @ POR,L,36.0,1,13,1,10,1,2,0,3,3,3,2,1,1,1,4,0.213,-0.033,74,0,0.0,29,78,205,0,0,2022-02-12,130.945,4,41,18,3,13,6,9,6,1,275,15,8,6.0,3.0,0.07075000000000001,0.21850000000000003,0,27,37
26,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100837,2022-02-10T00:00:00,NYK @ GSW,W,30.833333333333332,7,17,5,13,3,4,0,1,0,3,0,0,4,2,22,0.275,0.042,64,2,0.091,29,78,205,1,1,2022-02-10,100.11166666666666,3,28,14,3,12,6,6,6,1,211,11,6,5.0,2.0,0.08033333333333333,0.19966666666666666,0,27,35
27,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100821,2022-02-08T00:00:00,NYK @ DEN,L,31.661666666666665,8,16,4,10,1,1,1,6,2,2,3,1,3,3,21,0.234,0.119,65,6,0.095,29,78,205,3,1,2022-02-08,101.13833333333334,3,30,14,2,11,6,7,4,0,214,9,4,5.0,1.0,0.09833333333333333,0.21133333333333335,0,27,33
28,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100814,2022-02-07T00:00:00,NYK @ UTA,L,31.083333333333332,5,12,4,8,2,2,2,2,1,2,2,0,5,1,16,0.188,0.07,65,0,0.125,29,78,205,0,1,2022-02-07,97.50500000000001,3,29,14,0,9,7,6,4,0,208,8,3,6.0,2.0,0.118,0.20833333333333334,0,27,32
29,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100799,2022-02-05T00:00:00,NYK @ LAL,L,37.36666666666667,5,14,3,10,2,3,0,4,3,2,1,0,3,2,15,0.177,0.052,81,4,0.0,29,78,205,2,0,2022-02-05,60.138333333333335,2,19,10,0,5,4,4,3,0,127,5,1,4.0,2.0,0.151,0.224,0,27,30
30,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100776,2022-02-02T00:00:00,NYK vs. MEM,L,32.68833333333333,11,18,8,12,0,0,0,5,2,3,1,0,1,1,30,0.269,0.173,68,6,0.0,29,78,205,3,0,2022-02-02,79.3,3,24,13,4,5,5,4,4,1,168,13,2,5.0,3.0,0.07900000000000001,0.2233333333333333,0,27,27
31,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100763,2022-01-31T00:00:00,NYK vs. SAC,W,27.45,7,11,4,7,0,1,0,0,2,1,2,0,4,0,18,0.179,0.129,59,2,0.222,29,78,205,1,2,2022-01-31,73.14999999999999,3,23,12,4,5,3,3,2,1,155,9,3,4.0,3.0,0.03966666666666667,0.22366666666666668,0,27,25
32,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100744,2022-01-28T00:00:00,NYK @ MIL,L,31.966666666666665,10,19,5,12,0,1,3,4,3,0,1,1,5,1,25,0.241,0.16,68,8,0.08,29,78,205,4,1,2022-01-28,69.26666666666667,3,19,9,2,4,2,4,2,0,147,7,3,0.0,3.0,0.016,0.206,0,27,22
33,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100727,2022-01-26T00:00:00,NYK @ MIA,L,19.883333333333333,2,7,2,5,1,2,1,1,0,3,1,0,4,1,7,0.25,-0.052,41,0,0.0,29,78,205,0,0,2022-01-26,74.51833333333333,3,20,9,2,5,3,2,1,0,156,4,3,1.0,3.0,0.034999999999999996,0.18099999999999997,0,27,20
34,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100709,2022-01-24T00:00:00,NYK @ CLE,L,21.3,3,9,1,6,0,0,0,0,0,0,0,0,0,1,7,0.18,0.011,46,0,0.571,29,78,205,0,2,2022-01-24,115.96833333333333,4,29,17,2,10,9,4,3,2,236,8,5,4.0,3.0,0.07450000000000001,0.1825,0,27,18
35,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100698,2022-01-23T00:00:00,NYK vs. LAC,W,28.083333333333332,5,12,4,8,0,0,1,3,2,1,1,0,3,1,14,0.188,0.089,60,0,0.143,29,78,205,0,1,2022-01-23,87.885,3,21,13,1,7,7,3,2,2,176,5,4,4.0,2.0,0.06966666666666667,0.18066666666666667,0,27,17
36,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100681,2022-01-20T00:00:00,NYK vs. NOP,L,25.135,2,8,1,6,1,2,1,2,1,1,0,0,1,1,6,0.175,0.005,50,2,0.0,29,78,205,1,0,2022-01-20,94.43333333333334,3,23,16,1,6,7,5,2,2,190,6,4,5.0,3.0,0.09166666666666667,0.19333333333333333,0,27,14
37,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100666,2022-01-18T00:00:00,NYK vs. MIN,L,37.46666666666667,10,17,5,10,2,2,0,4,4,2,2,1,3,3,27,0.209,0.19,78,6,0.148,29,78,205,3,2,2022-01-18,90.16833333333334,3,17,14,2,6,6,3,0,1,177,4,3,3.0,3.0,0.067,0.16933333333333334,0,27,12
38,2021-22,203095,Evan Fournier,1610612752,NYK,New York Knicks,0022100655,2022-01-17T00:00:00,NYK vs. CHA,L,25.283333333333335,2,9,2,5,0,0,0,1,2,0,0,1,1,0,6,0.158,0.014,48,0,0.0,29,78,205,0,0,2022-01-17,86.535,3,19,15,3,9,6,5,2,0,174,7,5,3.0,4.0,0.107,0.2193333333333333,0,27,11
